latitude,longitude
64.4817,-146.9325
33.4088333,-117.029
38.0519,-118.0546
29.1913,141.5525
31.482,-103.915
37.8181,-115.1166
37.8659,-115.0978
19.2643337249756,-155.384674072266
-1.0318,-13.6437
61.0244,-152.0584
62.8887,-150.9938
32.7603333,-115.4278333
41.2833,78.8703
38.7876663,-122.7488327
38.1673,-117.8547
39.4119,-119.707
41.2582,78.8046
61.3705,-150.1724
33.0776667,-115.5913333
19.1935005187988,-155.484832763672
65.0304,-148.7392
33.3101667,-116.2483333
60.9902,-146.0674
64.4828,-146.9198
33.9185,-116.7135
64.4863,-146.8846
33.3551667,-116.4315
64.4824,-146.9123
38.8318329,-122.8199997
39.4118,-119.7067
-23.0001,-178.6832
38.8105011,-122.7813339
63.1309,-150.6143
64.4926,-146.9104
38.8166656,-122.7603302
57.0194,-157.536
38.8373337,-122.7926636
64.4864,-146.9879
38.8366661,-122.8056641
37.2329,-117.2617
39.4119,-119.7022
63.5456,-150.8772
62.9594,-150.7436
33.4903333,-116.5738333
62.0385,-150.2854
38.7541656,-122.7259979
39.4138,-119.7108
38.7803345,-122.7450027
60.7967,-138.1599
39.408,-119.7108
39.4124,-119.7217
61.8531,-149.8056
18.1343,120.8448
36.72804642,-98.7117157
62.111,-148.0811
36.753334,-120.9263306
39.4098,-119.7155
38.7854996,-122.7721634
19.2666664123535,-155.392166137695
36.1003333,-117.8531667
18.2685,-66.1506666666667
-32.9991,-71.5532
39.4221,-119.9462
38.809166,-122.7908325
38.1989,-117.9591
61.2859,-141.0904
19.1979999542236,-155.456329345703
37.2081,136.8804
38.8086662,-122.8180008
38.8339996,-122.8144989
61.6441,-149.8242
39.4097,-119.6995
31.604,-104.213
39.4091,-119.697
39.411,-119.7001
31.604,-104.213
64.501,-146.9058
63.529,-147.5543
39.4152,-119.6994
38.833168,-122.7971649
39.4112,-119.6987
63.5462,-150.9719
19.2654991149902,-155.456665039062
31.738,-104.124
38.8219986,-122.7969971
19.7045,-64.6471
57.8398,-156.3505
64.4681,-146.969
46.69466666666667,-122.35083333333333
33.0311667,-116.0075
64.2674,-148.9361
38.7861671,-122.7441635
63.0903,-151.5434
32.9753333,-116.2863333
62.054,-150.182
36.1916656,-120.7676697
41.3424,78.9042
35.12945175,-97.79093933
19.2716,-64.7515
19.2754993438721,-155.388336181641
39.4114,-119.6997
58.3782,-155.861
19.1630001068115,-155.479995727539
-5.8695,147.1377
41.264,78.6771
63.5896,-149.9848
33.5073333,-117.4078333
31.6253333,-116.0
19.408332824707,-155.31233215332
17.9448333333333,-66.9141666666667
41.243,78.7775
39.4064,-119.6953
63.1217,-150.9709
18.0256666666667,-66.9913333333333
64.0323,-148.7947
66.1852,-149.526
38.8255005,-122.7868347
31.737,-104.121
19.1590003967285,-155.492660522461
39.4082,-119.6951
17.9943333333333,-66.9915
38.7919998,-122.7574997
31.671,-104.411
39.4075,-119.6964
39.4076,-119.6945
38.7929993,-122.7816696
64.4876,-146.8924
9.4473,-83.8501
38.8098335,-122.7738342
57.0368333333333,-135.643333333333
38.7929993,-122.7611694
64.1619,-146.4758
-1.127,-13.987
38.784668,-122.7663345
19.1886672973633,-155.489166259766
59.6369,-153.952
41.1954,78.572
19.1695003509521,-155.493667602539
54.8431666666667,-163.973833333333
47.69083333333333,-123.61666666666666
35.7321667,-117.5815
31.689,-104.301
34.109,-117.3191667
31.68,-104.408
40.3025017,-124.3679962
13.23,-89.3653
63.5142,-150.8569
-23.7161,-179.5071
41.9571,-119.5862
38.8274994,-122.8539963
33.9485,-116.7548333
54.7641666666667,-163.9215
38.8173332,-122.8261642
37.7811,-115.1522
41.2141,78.6268
38.1438,-118.0229
17.8771666666667,-66.9188333333333
65.4186,-144.8037
33.1846667,-116.4245
33.1855,-116.4185
33.178,-116.4258333
33.1943333,-115.9725
58.2473,-154.9433
65.65,-144.6729
64.4902,-146.8969
60.0643,-139.3121
60.0681,-139.2942
33.271,-116.4326667
33.181,-116.4178333
59.9113,-139.1083
33.1791667,-116.427
18.8688333333333,-155.15
33.8758333,-117.4986667
41.2783,78.8896
19.183500289917,-155.473159790039
60.0849,-139.3966
39.4063,-119.6921
40.1269989,-123.8105011
33.693,-117.4011667
31.692,-104.29
35.9063333,-117.7271667
37.9876671,-122.4486694
-21.7899,-68.4569
19.2718333333333,-155.384
35.0608333,-118.3393333
-6.0218,150.8467
37.0643349,-121.13517
36.025,-117.8078333
38.8134995,-122.8183365
31.709,-104.521
37.4838333,-118.8428345
-24.0853,-67.0969
38.8161659,-122.8281631
33.6491667,-116.7088333
19.1451666666667,-155.467666666667
36.7553329,-120.93367
61.4688,-149.7899
65.1077,-148.692
33.9141667,-117.7606667
60.3807,-150.6363
61.2516,-150.544
11.7428,43.3665
38.8375015,-122.8363342
33.2013333,-116.0301667
33.2008333,-116.0293333
63.009,-150.568
38.8243332,-122.7948303
37.0646667,-121.125
19.4161666666667,-155.442
38.8231659,-122.8130035
37.6539993,-118.8463364
34.0321667,-117.1935
57.0483333333333,-135.6595
61.781,-146.7117
19.044,-155.3595
64.4932,-146.6691
59.5522,-152.8395
64.494,-146.9043
54.76,-163.864666666667
36.0068333,-117.7886667
38.5465,-119.5394
38.8460007,-122.8059998
63.3924,-149.5504
45.69,-112.139833333333
19.2549991607666,-155.406997680664
38.8240013,-122.8544998
38.822834,-122.8539963
36.022,-117.8076667
54.7583333333333,-163.986333333333
57.0505,-135.658833333333
31.67,-104.191
-8.6985,115.6441
64.6963,-151.0698
38.8230019,-122.8533325
64.4919,-146.9464
31.558,-104.015
61.5496,-146.343
64.4724,-146.9024
38.7896652,-122.7653351
38.4935,-112.843
35.6785,-117.5471667
38.8251648,-122.7853317
31.672,-104.337
31.667,-104.345
54.7481666666667,-163.959
38.4861666666667,-112.845
38.4863333333333,-112.849166666667
54.7411666666667,-164.017833333333
38.1143,38.4508
17.2996,-100.4285
35.151,-118.6698333
60.0065,-153.042333333333
60.0658333333333,-153.063333333333
38.4875,-112.842333333333
52.2931666666667,-174.181166666667
-8.2505,121.0978
44.3141666666667,-114.884
64.4431,-146.726
57.6609,-156.3612
60.2145,-141.1228
38.4896666666667,-112.844833333333
54.7425,-164.0975
59.9988,-139.5315
48.2873333333333,-113.945
34.51316667,-97.7615
58.2478333333333,-154.934
58.25,-154.94
19.3010005950928,-155.24299621582
38.8283348,-122.7939987
19.1615,-155.485
38.4888333333333,-112.848166666667
38.4896666666667,-112.848833333333
48.30616666666667,-121.92283333333332
58.259,-155.1455
44.3553333333333,-115.200833333333
63.2309,-151.3798
19.2601661682129,-155.384826660156
63.2503,-151.7301
31.801,-103.72
61.7437,-149.5976
62.1573,-152.0768
38.7975006,-122.7773361
64.4729,-146.9345
38.4876666666667,-112.8495
38.7981682,-122.7768326
38.4895,-112.8475
38.8293343,-122.8144989
63.2163,-148.9637
38.8110008,-122.8278351
38.4873333333333,-112.844833333333
60.027,-153.1095
65.3027,-145.0399
65.2669,-144.8335
31.682,-104.414
38.4878333333333,-112.845166666667
37.5516,-118.0499
51.9136666666667,179.574666666667
38.4893333333333,-112.8425
38.796833,-122.7891693
62.1929,-150.0887
58.2515,-155.139666666667
58.2926666666667,-154.985666666667
34.0836667,-117.4338333
19.1853332519531,-155.367340087891
46.8925,-112.521
59.8589,-153.5304
37.3893,-118.1338
60.7261,-143.3773
60.0031,-153.2021
19.4026666666667,-154.913166666667
41.2392,78.8881
36.8798,-115.9731
31.737,-104.11
58.2525,-155.085166666667
36.4573326,-121.0445023
46.80166666666667,-121.5515
38.4888333333333,-112.844833333333
38.488,-112.846833333333
38.4895,-112.849333333333
38.4888333333333,-112.848166666667
38.4896666666667,-112.848166666667
39.4122,-119.6984
60.6431,-151.6228
53.7476,-166.7709
64.4961,-146.897
36.6539,-116.2716
34.1023333,-117.3175
31.67,-104.192
33.9555,-116.3783333
34.5406667,-118.1438333
42.7241666666667,-111.1735
39.4118,-119.6989
17.903,-66.911
60.0221666666667,-153.072666666667
31.738,-104.112
38.4878333333333,-112.846166666667
38.4843333333333,-112.851666666667
38.4863333333333,-112.8475
38.4855,-112.871833333333
54.7563333333333,-163.980666666667
34.0998333,-117.3153333
44.8266666666667,-111.461666666667
57.607,-154.9794
31.685,-104.285
31.689,-104.295
31.593,-103.938
8.5561,-104.0737
31.694,-104.306
36.1203333,-117.7143333
64.5941,-147.054
34.1018333,-117.3186667
19.142333984375,-155.472839355469
63.5267,-147.4382
36.1041666666667,-89.7653333333333
33.2703333,-116.785
52.3011666666667,-174.1845
63.4639,-147.0192
38.8325005,-122.8161697
38.831665,-122.8156662
31.559,-104.02
37.6026649,-122.4626694
56.1614,-157.6347
32.4528333,-115.1633333
39.5042,-120.3061
64.4871,-146.842
36.8828,-115.9837
31.671,-104.194
35.6241667,-117.4785
40.7616666666667,-111.69
53.8696666666667,-166.788166666667
31.669,-104.195
53.9355,-166.865833333333
53.9376666666667,-166.869333333333
64.4866,-146.9218
58.3385,-154.728
36.0916667,-117.9013333
58.2561666666667,-155.096666666667
41.3423,78.7806
36.1013333,-117.8491667
64.4785,-146.9102
34.1048333,-117.3158333
37.1534,-117.3898
37.1449,-117.3945
33.9016667,-116.888
56.1073333333333,-158.894
64.4818,-146.8798
64.4595,-146.9164
43.2198,145.7443
60.0266666666667,-153.083666666667
54.751,-163.971333333333
34.1001667,-117.3188333
19.1765,-155.494666666667
38.8213348,-122.8631668
38.8240013,-122.848999
34.104,-117.315
38.821167,-122.8633347
38.8276672,-122.8570023
34.1036667,-117.3173333
35.7345,-117.5436667
34.1016667,-117.3151667
17.9395,-66.2881666666667
35.13016667,-97.79166667
33.0406667,-116.1731667
31.685,-104.288
31.689,-104.291
34.1046667,-117.3166667
32.9193333,-116.2383333
38.821167,-122.8058319
38.8343315,-122.7963333
34.1116667,-117.3115
56.2226666666667,-159.1395
33.6913333,-117.393
38.8413315,-122.82267
44.0891666666667,-114.5
62.8497,-144.8851
60.1664,-140.9709
35.696,-117.573
44.274,-115.127333333333
58.2321666666667,-155.092166666667
58.2226666666667,-155.058666666667
36.6561,-116.274
35.3718333,-118.5438333
62.9116,-149.4357
64.4819,-146.899
8.4625,-39.5515
38.8325005,-122.8144989
8.483,-39.4901
58.6421,-154.5435
31.343,-103.062
38.8323326,-122.8083344
46.328833333333336,-122.2405
35.5568352,-120.7754974
60.0639,-152.5894
62.8291,-144.7972
61.3077,-147.8175
62.8365,-144.8683
64.4697,-146.9472
34.5305,-118.1028333
41.2207,78.7307
44.7735,-110.9225
38.8058319,-122.8176651
41.2237,78.6257
64.1294,-145.4386
41.1663,78.7228
57.0381666666667,-135.632333333333
37.0216,97.0045
35.1518333,-118.6723333
61.4768,-151.3051
39.9134,-120.7814
53.3931666666667,-168.171
31.694,-104.306
60.572,-150.298
38.7806664,-122.7659988
38.8326683,-122.8151703
36.4571648,-121.0358353
60.6547,-151.7467
61.9877,-148.5582
31.297,-103.417
31.671,-104.339
38.840332,-122.8236694
16.7225,-95.2609
59.9788333333333,-153.026833333333
61.9632,-150.0014
38.8241653,-122.8130035
38.8318329,-122.8026657
61.3827,-154.9222
17.9546666666667,-66.9215
61.3019,-150.7739
38.8176651,-122.7659988
64.4827,-146.9299
57.3259,-156.6277
38.8031654,-122.7939987
45.074,-111.734
34.49383333,-97.21533333
41.1516,78.534
2.1437,124.8062
32.126,-101.059
48.1531666666667,-116.207833333333
47.3673,152.5339
63.3467,-145.5005
41.162,78.6327
58.5221,-155.2501
17.9698333333333,-66.8558333333333
31.335,-103.069
40.6671677,-123.3293304
60.0078333333333,-153.142333333333
17.936,-66.9376666666667
-40.3256,176.5312
35.7696667,-117.5888333
65.0118,-147.4899
63.3501,-149.7485
39.5664,-119.8185
31.67,-104.19
31.3209,-103.0716
46.1955,-122.19783333333334
38.8103333,-122.8274994
60.7615,-152.4233
41.366,78.8354
63.0021,-149.4707
31.679,-104.404
59.5988,-154.1858
58.6054,-155.2407
64.4572,-146.8828
61.7486,-151.8128
35.6588333,-117.4875
38.8263321,-122.7998352
41.0983,78.6497
65.3549,-144.7642
41.2901,78.5924
38.8059998,-122.8186646
41.8269,82.747
38.8390007,-122.8368301
38.8349991,-122.7993317
